# Time-averaged data for fix pe_out
# TimeStep v_pot_energy
0 -6.41778
100 -6.40396
200 -6.39967
300 -6.37387
400 -6.37021
500 -6.36652
600 -6.37963
700 -6.38364
800 -6.38933
900 -6.37734
1000 -6.37109
1100 -6.36981
1200 -6.38405
1300 -6.39001
1400 -6.3819
1500 -6.38091
1600 -6.37999
1700 -6.38031
1800 -6.39172
1900 -6.38729
2000 -6.3987
2100 -6.38866
2200 -6.38113
2300 -6.37108
2400 -6.38452
2500 -6.38951
2600 -6.38657
2700 -6.39146
2800 -6.39415
2900 -6.38568
3000 -6.40189
3100 -6.40794
3200 -6.39146
3300 -6.38368
3400 -6.39242
3500 -6.3811
3600 -6.39671
3700 -6.3966
3800 -6.38936
3900 -6.38748
4000 -6.39406
4100 -6.40297
4200 -6.39876
4300 -6.37179
4400 -6.36789
4500 -6.39084
4600 -6.38073
4700 -6.39004
4800 -6.41874
4900 -6.39437
5000 -6.38089
5100 -6.38563
5200 -6.39345
5300 -6.39218
5400 -6.39359
5500 -6.41312
5600 -6.39839
5700 -6.38413
5800 -6.38789
5900 -6.37104
6000 -6.38488
6100 -6.40219
6200 -6.39755
6300 -6.38731
6400 -6.38331
6500 -6.40599
6600 -6.38556
6700 -6.41178
6800 -6.40338
6900 -6.39676
7000 -6.39454
7100 -6.39192
7200 -6.4017
7300 -6.4159
7400 -6.39977
7500 -6.40826
7600 -6.41285
7700 -6.38818
7800 -6.39096
7900 -6.394
8000 -6.39748
8100 -6.41061
8200 -6.40892
8300 -6.40678
8400 -6.39919
8500 -6.38893
8600 -6.39133
8700 -6.39441
8800 -6.38479
8900 -6.39963
9000 -6.38859
9100 -6.39059
9200 -6.37747
9300 -6.38261
9400 -6.3785
9500 -6.37975
9600 -6.39336
9700 -6.39894
9800 -6.3908
9900 -6.37563
10000 -6.37906
10100 -6.40079
10200 -6.41357
10300 -6.39312
10400 -6.40613
10500 -6.38825
10600 -6.40485
10700 -6.41295
10800 -6.40041
10900 -6.39687
11000 -6.40038
11100 -6.38244
11200 -6.40233
11300 -6.37959
11400 -6.40453
11500 -6.40508
11600 -6.40346
11700 -6.40571
11800 -6.39314
11900 -6.38365
12000 -6.39427
12100 -6.40491
12200 -6.39263
12300 -6.40351
12400 -6.40618
12500 -6.38473
12600 -6.39813
12700 -6.38758
12800 -6.38498
12900 -6.41386
13000 -6.40033
13100 -6.40752
13200 -6.38921
13300 -6.3986
13400 -6.40703
13500 -6.40521
13600 -6.40446
13700 -6.40635
13800 -6.38924
13900 -6.37484
14000 -6.39484
14100 -6.4057
14200 -6.40803
14300 -6.40593
14400 -6.39514
14500 -6.39787
14600 -6.40644
14700 -6.40283
14800 -6.39022
14900 -6.39159
15000 -6.39411
15100 -6.39444
15200 -6.39346
15300 -6.39091
15400 -6.39139
15500 -6.39357
15600 -6.4076
15700 -6.40199
15800 -6.39342
15900 -6.39783
16000 -6.38387
16100 -6.40615
16200 -6.41127
16300 -6.40522
16400 -6.40048
16500 -6.39353
16600 -6.39056
16700 -6.40144
16800 -6.40167
16900 -6.39789
17000 -6.39716
17100 -6.38363
17200 -6.38801
17300 -6.39659
17400 -6.38902
17500 -6.40091
17600 -6.40879
17700 -6.40214
17800 -6.37898
17900 -6.3831
18000 -6.40237
18100 -6.39674
18200 -6.40614
18300 -6.40408
18400 -6.40744
18500 -6.39527
18600 -6.40524
18700 -6.39317
18800 -6.40374
18900 -6.41328
19000 -6.40772
19100 -6.39666
19200 -6.39416
19300 -6.38828
19400 -6.40941
19500 -6.41097
19600 -6.40835
19700 -6.40827
19800 -6.40181
19900 -6.39642
20000 -6.40623
20100 -6.40865
20200 -6.3927
20300 -6.39184
20400 -6.38123
20500 -6.38678
20600 -6.39537
20700 -6.40151
20800 -6.40514
20900 -6.406
21000 -6.39545
21100 -6.40552
21200 -6.41686
21300 -6.3904
21400 -6.39319
21500 -6.38028
21600 -6.38534
21700 -6.39395
21800 -6.40785
21900 -6.40998
22000 -6.3918
22100 -6.40021
22200 -6.40286
22300 -6.40652
22400 -6.40744
22500 -6.39304
22600 -6.393
22700 -6.39654
22800 -6.37811
22900 -6.3986
23000 -6.39456
23100 -6.39257
23200 -6.39544
23300 -6.39254
23400 -6.40274
23500 -6.3964
23600 -6.39821
23700 -6.38941
23800 -6.39609
23900 -6.40348
24000 -6.39529
24100 -6.39549
24200 -6.38802
24300 -6.38551
24400 -6.41477
24500 -6.40576
24600 -6.40773
24700 -6.39562
24800 -6.40133
24900 -6.37537
25000 -6.37424
25100 -6.37393
25200 -6.38548
25300 -6.39505
25400 -6.38518
25500 -6.38858
25600 -6.39731
25700 -6.40006
25800 -6.4022
25900 -6.38713
26000 -6.38962
26100 -6.38647
26200 -6.38331
26300 -6.39078
26400 -6.38219
26500 -6.40115
26600 -6.41025
26700 -6.40328
26800 -6.37167
26900 -6.38296
27000 -6.37186
27100 -6.39067
27200 -6.39373
27300 -6.39267
27400 -6.40169
27500 -6.37916
27600 -6.38931
27700 -6.38699
27800 -6.37505
27900 -6.40036
28000 -6.40295
28100 -6.39709
28200 -6.39869
28300 -6.4007
28400 -6.38938
28500 -6.39075
28600 -6.39674
28700 -6.39842
28800 -6.40092
28900 -6.39784
29000 -6.38511
29100 -6.3962
29200 -6.3975
29300 -6.40261
29400 -6.38426
29500 -6.37854
29600 -6.37407
29700 -6.41404
29800 -6.41874
29900 -6.41059
30000 -6.38928
30100 -6.40053
30200 -6.40236
30300 -6.41285
30400 -6.40777
30500 -6.38579
30600 -6.37194
30700 -6.37731
30800 -6.38762
30900 -6.39335
31000 -6.38552
