# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.0137061 0.007
20 0.975 0.557795 0.3235
21 1.025 2.53393 1.9125
22 1.075 3.66873 4.443
23 1.125 2.99382 6.7045
24 1.175 2.10372 8.438
25 1.225 1.34598 9.6435
26 1.275 0.885365 10.5025
27 1.325 0.658046 11.192
28 1.375 0.574727 11.8405
29 1.425 0.471984 12.4125
30 1.475 0.469026 13.0215
31 1.525 0.444181 13.638
32 1.575 0.46844 14.3315
33 1.625 0.548249 15.1955
34 1.675 0.66681 16.312
35 1.725 0.813419 17.7565
36 1.775 0.995336 19.628
37 1.825 1.1863 21.986
38 1.875 1.28164 24.675
39 1.925 1.30298 27.5565
40 1.975 1.33064 30.654
41 2.025 1.33439 33.9195
42 2.075 1.30472 37.272
43 2.125 1.29321 40.757
44 2.175 1.17104 44.063
45 2.225 1.06366 47.2055
46 2.275 0.940203 50.1095
47 2.325 0.841768 52.825
48 2.375 0.747285 55.3405
49 2.425 0.701258 57.8015
50 2.475 0.726554 60.4575
100 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.0107691 0.0055
20 0.975 0.519022 0.3
21 1.025 2.5148 1.877
22 1.075 3.66004 4.4015
23 1.125 3.07656 6.7255
24 1.175 2.07399 8.4345
25 1.225 1.36329 9.6555
26 1.275 0.919893 10.548
27 1.325 0.646116 11.225
28 1.375 0.529529 11.8225
29 1.425 0.483123 12.408
30 1.475 0.453623 12.997
31 1.525 0.444541 13.614
32 1.575 0.485665 14.333
33 1.625 0.574583 15.2385
34 1.675 0.64949 16.326
35 1.725 0.813419 17.7705
36 1.775 0.969807 19.594
37 1.825 1.18127 21.942
38 1.875 1.28665 24.6415
39 1.925 1.3326 27.5885
40 1.975 1.32033 30.662
41 2.025 1.32867 33.9135
42 2.075 1.30024 37.2545
43 2.125 1.27317 40.6855
44 2.175 1.23444 44.1705
45 2.225 1.05672 47.2925
46 2.275 0.916244 50.1225
47 2.325 0.822239 52.775
48 2.375 0.761099 55.337
49 2.425 0.717643 57.8555
50 2.475 0.710278 60.452
200 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.00881107 0.0045
20 0.975 0.521666 0.3005
21 1.025 2.455 1.84
22 1.075 3.7724 4.442
23 1.125 3.01103 6.7165
24 1.175 2.09947 8.4465
25 1.225 1.32812 9.636
26 1.275 0.949783 10.5575
27 1.325 0.650411 11.239
28 1.375 0.5282 11.835
29 1.425 0.476522 12.4125
30 1.475 0.436679 12.9795
31 1.525 0.459311 13.617
32 1.575 0.495121 14.35
33 1.625 0.565382 15.241
34 1.675 0.648594 16.327
